#,URL,University Name (Tab Title),Status
77,http://www.csvtu.ac.in/,Chhattisgarh Swami Vivekanand Technical University – CSVTU,OK
78,http://www.dauniv.ac.in/,Devi Ahilya Vishwavidyalaya,OK
79,http://www.davangereuniversity.ac.in/,Davangere University - Davangere University,OK
80,http://www.dbatu.ac.in/,Dr.Babasaheb Ambedkar Technological University – डॉ. बाबासाहेब आंबेडकर तंत्रशास्त्र विद्यापीठ,OK
81,http://www.dbskkv.org/,"Dr. Balasaheb Sawant Konkan Krishi Vidyapeeth, Dapoli (Agricultural University)",OK
82,http://www.dcrusm.ac.in/,,ERROR: Message: unknown error: net::ERR_NAME_NOT_RESOLVED
83,http://www.ddugu.edu.in/,,ERROR: Message: unknown error: net::ERR_NAME_NOT_RESOLVED
84,http://www.dhwu.ac.in/,Welcome | Diamond Harbour Women´s University,OK
85,http://www.dibru.ac.in/,Dibrugarh University,OK
86,http://www.dravidianuniversity.ac.in/,"Dravidian University, Kuppam | Official Website",OK
87,http://www.dtu.ac.in/,,TIMEOUT
88,http://www.durguniversity.ac.in/,"Hemchand Yadav Vishwavidyalaya, Durg",OK
89,http://www.gadvasu.in/,GADVASU - Guru Angad Dev Veterinary And Animal Sciences University,OK
90,http://www.gauhati.ac.in/,Gauhati University | A NAAC A+ Grade Institution,OK
91,http://www.gbpuat.ac.in/,,TIMEOUT
92,http://www.gmuniversity.ac.in/,"Gangadhar Meher University, Sambalpur, Odisha",OK
93,http://www.gnlu.ac.in/,Gujarat National Law University,OK
94,http://www.goidirectory.gov.in/index.php,,ERROR: Message: unknown error: net::ERR_NAME_NOT_RESOLVED
95,http://www.gov.ua.nic.in/doonuniversity,,ERROR: Message: unknown error: net::ERR_NAME_NOT_RESOLVED
96,http://www.gtu.ac.in/,Welcome to Gujarat Technological University,OK
97,http://www.guts.education/,"Justin tv izle, Canlı maç izle, justintvizlesene.co",OK
98,http://www.hau.ac.in/,"Chaudhary Charan Singh Haryana Agricultural University, Hisar",OK
99,http://www.hnlu.ac.in/,Hidayatullah National Law University | HNLU,OK
100,http://www.igdtuw.ac.in/,,ERROR: Message: unknown error: net::ERR_NAME_NOT_RESOLVED
101,http://www.iiitd.ac.in/,IIIT-Delhi,OK
102,http://www.iksv.ac.in/,Indira Kala Sangeet Vishwavidyalaya,OK
103,http://www.ipu.ac.in/,Guru Gobind Singh Indraprastha University (Official Website),OK
104,http://www.islamicuniversity.edu.in/,Privacy error,OK
105,http://www.jammuuniversity.ac.in/,Privacy error,OK
106,http://www.jau.in/,Junagadh Agricultural University,OK
107,http://www.jiwaji.edu/,Home,OK
108,http://www.jnkvv.nic.in/,,ERROR: Message: unknown error: net::ERR_NAME_NOT_RESOLVED
109,http://www.jntua.ac.in/,"Jawaharlal Nehru Technological University, Anantapur",OK
110,http://www.jntuh.ac.in/,Jawaharlal Nehru Technological University Hyderabad,OK
111,http://www.jntuk.edu.in/,Jawaharlal Nehru Technological University Kakinada,OK
112,http://www.jnvu.co.in/,Just a moment...,OK
113,http://www.jrdu.ac.in/,,ERROR: Message: unknown error: net::ERR_NAME_NOT_RESOLVED
114,http://www.jrrsanskrituniversity.ac.in/,,ERROR: Message: unknown error: net::ERR_NAME_NOT_RESOLVED
115,http://www.kakatiya.ac.in/,"Kakatiya University, Warangal-506009, Telangana, India.",OK
116,http://www.kannadauniversity.org/,Kannada University,OK
117,http://www.kannuruiversity.ac.in/,,ERROR: Message: unknown error: net::ERR_NAME_NOT_RESOLVED
118,http://www.kau.edu/,Kerala Agricultural University | Towards excellence in Agricultural Education,OK
119,http://www.kbvsasun.ac.in/,Kumar Bhaskar Varma Sanskrit and Ancient Studies University,OK
120,http://www.keralauniversity.edu/,,ERROR: Message: unknown error: net::ERR_NAME_NOT_RESOLVED
121,http://www.kgmcindia.edu/,(no title),NO TITLE
122,http://www.kkhsou.in/,Krishna Kanta Handiqui State Open University,OK
123,http://www.klyuniv.ac.in/,University of Kalyani,OK
124,http://www.knu.ac.in/,KNU | Homepage,OK
125,http://www.kru.ac.in/,Krishna University,OK
126,http://www.ksdsu.edu.in/,Just a moment...,OK
