URL,University Name (Tab Title)
http://www.klyuniv.ac.in/,University of Kalyani
http://www.knu.ac.in/,KNU | Homepage
http://www.kru.ac.in/,Krishna University
http://www.ksdsu.edu.in/,Just a moment...
http://www.ksu.ac.in/,Privacy error
http://www.ktujm.ac.in/,Welcome to Kushabhau Thakre Patrakarita Avam Jansanchar Vishwavidyalaya
http://www.kud.ac.in/,ಕರ್ನಾಟಕ ವಿಶ್ವವಿದ್ಯಾಲಯ ಧಾರವಾಡ
http://www.kuhs.ac.in/,KUHS - Home
http://www.kuk.ac.in/,Kurukshetra University
http://www.kunainital.ac.in/,"Welcome To The Official Website Of Kumaun University, Nainital | Kumaun University, Nainital"
http://www.lkouniv.ac.in/,University of Lucknow
http://www.magadhuniversity.ac.in/,Welcome To Magadh University Bodh Gaya (Bihar)
http://www.mcu.ac.in/,Makhanlal Chaturvedi Rashtriya Patrakarita Evam Sanchar Vishwavidyalaya
http://www.mgkvp.ac.in/,Mahatma Gandhi Kashi Vidyapith: Home Page
http://www.mgu.ac.in/,"Welcome to MG University, Kottayam"
http://www.mguniversity.ac.in/,"Mahatma Gandhi University, Nalgonda(TS) - Home"
http://www.mlsu.ac.in/,Welcome to Mohanlal Sukhadia University - Udaipur
http://www.mpuat.ac.in/,Maharana Pratap University of Agriculture & Technology
http://www.mtu.ac.in/,MTU
http://www.muc.ac.in/,MUC - Manipur University of Culture
http://www.muhsnashik.com/,muhsnashik.com
http://www.musicuniversity.ac.in/,Music University
http://www.nbu.ac.in/,University of North Bengal
http://www.ndvsu.org/,"Nanaji Deshmukh Veterinary Science University, Jabalpur"
http://www.ngu.ac.in/,"HNGU-Hemchandracharya North Gujarat University,Patan"
http://www.nims.edu.in/,NIMS - Nizam's Institute Of Medical Sciences
http://www.nliu.ac.in/,The National Law Institute University Bhopal | NLIU Bhopal
http://www.nluassam.ac.in/,NLUJAA
http://www.nlujodhpur.ac.in/,National Law University
http://www.nluo.ac.in/,Home - NLUO | National Law University Odisha
http://www.nou.nic.in/,Welcome To Maharaja Sriram Chandra Bhanja Deo University (Erstwhile North Orissa University)
http://www.npu.ac.in/,Home Page | Nilamber-Pitamber University.
http://www.nrupathungauniversityblr.ac.in/index.php,404 Not Found
http://www.nujs.edu/,Law NUJS Kolkata WB National University of Juridical Sciences India West Bengal
http://www.nvsp.in/,Privacy error
http://www.palamuruuniversity.ac.in/,Palamuru University - Public university situated in Mahbubnagar in Telangana
http://www.patnauniversity.ac.in/,Coming Soon
http://www.pjtsau.edu.in/,PROFESSOR JAYASHANKAR TELANGANA AGRICULTURAL UNIVERSITY
http://www.policeuniversity.ac.in/,"SARDAR PATEL UNIVERSITY OF POLICE,SECURITY AND CRIMINAL JUSTICE, JODHPUR"
http://www.ppup.ac.in/,"::: PATLIPUTRA UNIVERSITY, PATNA :::"
http://www.prsu.ac.in/,Pt. Ravishankar Shukla University
http://www.pssou.ac.in/,"Pt. Sundarlal Sharma (Open) University Chhattisgarh, Bilaspur"
http://www.puchd.ac.in/,Official Website of Panjab University Chandigarh ਪੰਜਾਬ ਯੂਨੀਵਰਸਿਟੀ ਚੰਡੀਗੜ੍ਹ पंजाब विश्वविद्यालय चंडीगढ़ पंजाब यूनिवर्सिटी चंडीगढ़ Chandigarh India
http://www.punjabiuniversity.ac.in/,"Punjabi University, Patiala | Higher Education Institute | NAAC ""A"" Grade | Punjab"
http://www.ranchiuniversity.ac.in/,"Official Website of Ranchi University, Ranchi"
http://www.raubikaner.org/,"Welcome To Swami Kheswanand Rajasthan Agriculture University, Bikaner"
http://www.rbu.ac.in/,Rabindra Bharati University
http://www.rdunijbpin.org/,"Rani Durgavati Vishwavidyalaya, Jabalpur M.P."
http://www.rgnul.ac.in/,Rajiv Gandhi National University of Law Punjab [ACCREDITED BY NAAC WTH 'A' GRADE]
http://www.rguhs.ac.in/,Rajiv Gandhi University of Health Sciences Karnataka
